2022-04-24 01:30:52,577 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 01:31:29,151 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: aaa
2022-04-24 02:55:06,977 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 02:55:15,619 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: s
2022-04-24 02:55:35,702 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 02:55:39,043 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: s
2022-04-24 02:55:39,435 DEBUG    client.py Keys successfully loaded.
2022-04-24 02:55:39,509 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1172, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57472), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1650758139.5097523, 'user': {'account_name': 's', 'pubkey': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA6okThq5kbPVUFoCRRWA7\nWWDfk/msALyt2HUqFbWNcNdTUpE4ACScdwfY+f0hnre4Mn5CmruWoCnBbuhF1+2o\n1h+6HfBW0IygzZWulqWraqLaKPpe3/Enm348AZVCvnunaVKoHdbh8be0SVybT0Uc\n0RRyu5FwZ2Ub5RbWBrGHNkIo6PVupdBkBeuWXwfTLD5XMRapeE0P8NE1u12pbYM/\n05UyDW/Xx4HDiPIW6fbJTeZuZN1hiowGf3I3p/1QMKQQQ4mvwcWMHHNV42il71pe\nDlW32x6Avxx7ZXumyP6p9Keemu1G85xQKDpdpjxKMq+nxrH5LYT96Lge38+yn1K3\n2wIDAQAB\n-----END PUBLIC KEY-----'}}), {} вызвана из функции common.utils
2022-04-24 02:56:46,518 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 02:57:41,915 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 02:57:50,771 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: s
