2022-04-25 23:30:12,169 DEBUG    log_decor.py функция config_load с аргументами (), {} вызвана из функции __main__
2022-04-25 23:30:12,171 DEBUG    log_decor.py функция arg_parser с аргументами ('7777', ''), {} вызвана из функции __main__
2022-04-25 23:37:57,490 DEBUG    log_decor.py функция config_load с аргументами (), {} вызвана из функции __main__
2022-04-25 23:37:57,492 DEBUG    log_decor.py функция arg_parser с аргументами ('7777', ''), {} вызвана из функции __main__
2022-04-26 00:11:04,838 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=700, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57437)>,), {} вызвана из функции common.utils
2022-04-26 00:11:04,853 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=700, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57437)>, {'response': 400, 'error': 'Пользователь не зарегистрирован.'}), {} вызвана из функции common.utils
2022-04-26 00:11:43,237 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57442)>,), {} вызвана из функции common.utils
2022-04-26 00:11:43,246 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57442)>, {'response': 511, 'bin': '42b1509b0f991b609e4289c4b74aa2f5181f88ad2972d8553d2884c8d17aa250b4fddd65b823ec770310cdb9372f0a89185f21ba13a06cad420490ed429308b2'}), {} вызвана из функции common.utils
2022-04-26 00:11:43,247 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57442)>,), {} вызвана из функции common.utils
2022-04-26 00:11:43,249 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57442)>, {'response': 200}), {} вызвана из функции common.utils
2022-04-26 00:11:43,773 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57442)>,), {} вызвана из функции common.utils
2022-04-26 00:11:43,774 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57442)>, {'response': 202, 'data_list': ['test2', 'test1']}), {} вызвана из функции common.utils
2022-04-26 00:11:44,274 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57442)>,), {} вызвана из функции common.utils
2022-04-26 00:11:44,285 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57442)>, {'response': 202, 'data_list': []}), {} вызвана из функции common.utils
2022-04-26 00:11:55,286 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1464, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57443)>,), {} вызвана из функции common.utils
2022-04-26 00:11:55,287 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1464, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57443)>, {'response': 511, 'bin': 'fb8faf9745d280ba38664d9feea7b0734f8f8648369861f8ab35979369d489c281552d293c9a2d2f8c9c7b84b16e2bdbd005618d54e305846689740dc5dd4947'}), {} вызвана из функции common.utils
2022-04-26 00:11:55,288 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1464, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57443)>,), {} вызвана из функции common.utils
2022-04-26 00:11:55,288 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1464, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57443)>, {'response': 200}), {} вызвана из функции common.utils
2022-04-26 00:11:55,807 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1464, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57443)>,), {} вызвана из функции common.utils
2022-04-26 00:11:55,807 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1464, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57443)>, {'response': 202, 'data_list': ['test2', 'test1']}), {} вызвана из функции common.utils
2022-04-26 00:11:56,308 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1464, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57443)>,), {} вызвана из функции common.utils
2022-04-26 00:11:56,313 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1464, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57443)>, {'response': 202, 'data_list': []}), {} вызвана из функции common.utils
2022-04-26 00:12:03,819 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57442)>,), {} вызвана из функции common.utils
