2022-05-02 22:32:54,522 DEBUG    log_decor.py функция config_load с аргументами (), {} вызвана из функции __main__
2022-05-02 22:33:17,108 DEBUG    log_decor.py функция config_load с аргументами (), {} вызвана из функции __main__
2022-05-02 22:33:17,110 DEBUG    log_decor.py функция arg_parser с аргументами ('7777', ''), {} вызвана из функции __main__
2022-05-02 22:34:39,671 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1260, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50426)>,), {} вызвана из функции server_dist.server.common.utils
2022-05-02 22:34:39,673 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1260, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50426)>, {'response': 511, 'bin': '767c2266ac1ce8ae5a5fbdc137755a59e1e8fab7e16c304d64d3e17e2e0804763689244d5d3645f69ce4ebab537c1b649ca81e5005ace4ae4e0a61b2e50ab21d'}), {} вызвана из функции server_dist.server.common.utils
2022-05-02 22:34:39,673 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1260, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50426)>,), {} вызвана из функции server_dist.server.common.utils
2022-05-02 22:34:39,674 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1260, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50426)>, {'response': 200}), {} вызвана из функции server_dist.server.common.utils
2022-05-02 22:34:40,194 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1260, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50426)>,), {} вызвана из функции server_dist.server.common.utils
2022-05-02 22:34:40,194 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1260, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50426)>, {'response': 202, 'data_list': ['test1', 'test2']}), {} вызвана из функции server_dist.server.common.utils
2022-05-02 22:34:40,694 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1260, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50426)>,), {} вызвана из функции server_dist.server.common.utils
2022-05-02 22:34:40,703 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1260, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50426)>, {'response': 202, 'data_list': []}), {} вызвана из функции server_dist.server.common.utils
2022-05-02 22:37:41,846 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1260, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50426)>,), {} вызвана из функции server_dist.server.common.utils
2022-05-02 22:37:41,863 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1260, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50426)>, {'response': 200}), {} вызвана из функции server_dist.server.common.utils
2022-05-02 22:37:44,365 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1260, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50426)>,), {} вызвана из функции server_dist.server.common.utils
2022-05-02 22:37:44,368 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1260, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50426)>, {'response': 400, 'error': 'Нет публичного ключа для данного пользователя'}), {} вызвана из функции server_dist.server.common.utils
2022-05-02 22:37:51,871 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1260, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50426)>,), {} вызвана из функции server_dist.server.common.utils
2022-05-02 22:37:52,095 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1260, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50426)>, {'response': 200}), {} вызвана из функции server_dist.server.common.utils
2022-05-02 22:55:22,314 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1260, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50426)>,), {} вызвана из функции server_dist.server.common.utils
